client_num,time_stamp,event,server_id,avg_thread_count

1,1509036308266,start,,
2,1509036308710,start,,
3,1509036308892,start,,
4,1509036309338,start,,
5,1509036309788,start,,
1,1509036309788,done,1509036206104,0.05
6,1509036310238,start,,
7,1509036310680,start,,
2,1509036310948,done,1509036206104,0.11666666666666667
3,1509036311092,done,1509036206104,0.11666666666666667
8,1509036311131,start,,
9,1509036311577,start,,
4,1509036311834,done,1509036206104,0.18333333333333332
10,1509036312021,start,,
5,1509036312377,done,1509036206104,0.2833333333333333
11,1509036312471,start,,
12,1509036312912,start,,
6,1509036313014,done,1509036206104,0.2833333333333333
13,1509036313360,start,,
7,1509036313741,done,1509036206104,0.38333333333333336
14,1509036313805,start,,
15,1509036314248,start,,
8,1509036314250,done,1509036206104,0.5
9,1509036314591,done,1509036206104,0.5
16,1509036314692,start,,
17,1509036315138,start,,
10,1509036315553,done,1509036206104,0.6166666666666667
18,1509036315579,start,,
19,1509036316021,start,,
11,1509036316101,done,1509036206104,0.6166666666666667
20,1509036316465,start,,
12,1509036316762,done,1509036206104,0.75
21,1509036316904,start,,
22,1509036317353,start,,
13,1509036317379,done,1509036206104,0.9
23,1509036317792,start,,
14,1509036317936,done,1509036206104,0.9
24,1509036318231,start,,
15,1509036318562,done,1509036206104,1.05
25,1509036318673,start,,
26,1509036319112,start,,
26,1509036319302,rejected,1509036206104,1.2166666666666666
16,1509036319308,done,1509036206104,1.2166666666666666
17,1509036319436,done,1509036206104,1.2166666666666666
27,1509036319552,start,,
18,1509036319957,done,1509036206104,1.2166666666666666
28,1509036319996,start,,
19,1509036320420,done,1509036206104,1.3666666666666667
29,1509036320439,start,,
30,1509036320870,start,,
20,1509036320897,done,1509036206104,1.3666666666666667
21,1509036321082,done,1509036206104,1.3666666666666667
31,1509036321308,start,,
32,1509036322008,start,,
22,1509036322009,done,1509036206104,1.5
24,1509036322057,done,1509036206104,1.5
23,1509036322120,done,1509036206104,1.5
33,1509036322190,start,,
34,1509036322620,start,,
25,1509036322780,done,1509036206104,1.6166666666666667
35,1509036323061,start,,
27,1509036323474,done,1509036206104,1.75
36,1509036323495,start,,
37,1509036323935,start,,
28,1509036324026,done,1509036206104,1.75
38,1509036324366,start,,
30,1509036324402,done,1509036206104,1.9
29,1509036324590,done,1509036206104,1.9
39,1509036324809,start,,
40,1509036325242,start,,
31,1509036325254,done,1509036206104,2.05
41,1509036325671,start,,
42,1509036326111,start,,
32,1509036326140,done,1509036206104,2.05
33,1509036326490,done,1509036206104,2.2
43,1509036326542,start,,
34,1509036326966,done,1509036206104,2.2
44,1509036326971,start,,
45,1509036327412,start,,
35,1509036327494,done,1509036206104,2.3666666666666667
46,1509036327842,start,,
36,1509036327865,done,1509036206104,2.3666666666666667
37,1509036327894,done,1509036206104,2.3666666666666667
47,1509036328274,start,,
38,1509036328655,done,1509036206104,2.5166666666666666
48,1509036328706,start,,
49,1509036329143,start,,
49,1509036329348,rejected,1509036206104,2.683333333333333
39,1509036329420,done,1509036206104,2.683333333333333
50,1509036329563,start,,
40,1509036329722,done,1509036206104,2.683333333333333
51,1509036329999,start,,
41,1509036330372,done,1509036206104,2.85
52,1509036330429,start,,
42,1509036330520,done,1509036206104,2.85
53,1509036330857,start,,
43,1509036330998,done,1509036206104,2.85
44,1509036331251,done,1509036206104,3.0
54,1509036331284,start,,
45,1509036331474,done,1509036206104,3.0
55,1509036331714,start,,
56,1509036332140,start,,
46,1509036332156,done,1509036206104,3.0
57,1509036332568,start,,
47,1509036332659,done,1509036206104,3.1333333333333333
58,1509036332996,start,,
48,1509036333164,done,1509036206104,3.1333333333333333
59,1509036333431,start,,
50,1509036333839,done,1509036206104,3.283333333333333
60,1509036333855,start,,
61,1509036334284,start,,
51,1509036334359,done,1509036206104,3.45
62,1509036334706,start,,
52,1509036334880,done,1509036206104,3.45
63,1509036335136,start,,
53,1509036335161,done,1509036206104,3.45
64,1509036335558,start,,
54,1509036335692,done,1509036206104,3.6
65,1509036335986,start,,
55,1509036336055,done,1509036206104,3.6
66,1509036336422,start,,
